48	长期单身	成年后连续单身4年以上，从未开启长期恋爱支线	情感	rare	37	朋友们一个个脱单、结婚、生娃，而你依然单身。有时候你也会焦虑，但更多时候你觉得自由真好。爱情这件事，急不来，也勉强不来。
49	带家人吃顿豪华大餐	用自己的钱请家人吃一顿贵的	家庭	rare	38	你订了一家一直想带家人去却舍不得去的餐厅。看着父母脸上既心疼又骄傲的表情，你知道这顿饭值得——不是因为食物有多好吃，而是因为你能回报他们的养育之恩了。
50	高等教育毕业	成功通过高等教育，拿到大学毕业证	学业	rare	38	你穿着学位服在校园里走了一圈又一圈，想把这里的每一条路都记住。四年青春换来一张纸，但你清楚知道，这张纸背后的故事，才是真正属于你的财富。
51	追剧达人	完整追完10部长篇剧集	娱乐	rare	38.2	你熬夜追完了一部又一部剧，为角色的命运揪心，为剧情的反转惊叹。十部剧，几百个小时，你活在了一个又一个平行世界里。追剧不只是消遣，更是对另一种人生的体验。
52	帮助陌生人	无条件帮助一个素不相识的人	社交	rare	40	你在雨天给没带伞的陌生人撑了一段路，或者帮迷路的人指了路。他们对你说「谢谢」的时候，你突然明白：善良是这个游戏里最强大的技能，没有之一。
53	参加一场演唱会	在现场感受音乐的力量	娱乐	rare	42	当灯光暗下又骤然亮起，舞台上的TA唱起了你最喜欢的歌。你跟着几万人一起合唱，那一刻你确信：音乐是这个星球上最接近魔法的事物。
54	硕士研究生	获得硕士学位	学业	rare	43	你在图书馆度过无数个深夜，终于完成了那篇几十页的论文。答辩那天，你站在讲台上，从容地回答每一个问题——你知道，你做到了。
55	异乡奋斗者	背井离乡在外打拼，一年回家不超过2次	职业	rare	43	你拖着行李箱来到这座陌生的城市，出租屋很小，工作很累，但每个月往家里打钱的时候，你觉得一切都值了。你是一座桥，一头连着故乡，一头连着远方。
56	享受独处	习惯一人吃饭出行逛街，享受独处时光	成长	rare	43	一个人吃火锅，一个人看电影，一个人旅行——你不再觉得尴尬，反而享受这种自由。你学会了与自己相处，而这可能是人这一生中最重要的一项能力。
57	登顶高峰	徒步登顶高山俯瞰大地	旅行	rare	43.5	最后几百米是最难的，每一步都需要调动全身的力气。但当终于站上山顶，云海在脚下翻涌，群山如波浪般延展——你明白了为什么要爬山：不是为了到达，是为了看见。
58	陪父母旅行	长大后在旅途中重新认识父母	家庭	rare	45	你带着父母去旅行，就像当年他们带你去看世界一样。你发现父亲的步子慢了，母亲的记性不如从前了。你突然意识到：你正在成为他们的依靠，就像他们曾经是你的依靠一样。
59	成为父母	解锁「养育」副本，持续终身	情感	rare	48	你第一次抱起那个小小的生命，TA那么软、那么轻，却又那么真实地存在着。那一刻你突然明白了，原来你的父母也是这样抱着你、看着你、爱着你——二十年、三十年、四十年。
60	升职加薪	职业能力得到认可	职业	common	51	你的老板告诉你：「你做得很好，从下个月起……」你努力保持淡定，但心里已经放起了烟花。这是你用无数个加班夜晚换来的，你值得。
61	感恩母亲	给妈妈准备一份礼物或鲜花	家庭	common	52.3	妈妈收到你送的礼物/花的时候，嘴上说着「乱花钱」，脸上却笑开了花。她可能一辈子都不会说出来，但这一刻她是世界上最幸福的母亲。别等到母亲节才想起来。
62	结婚	与另一个玩家签订终身契约	情感	common	53	你站在婚礼现场，看着穿着白纱的TA走向你。你想起第一次见面时的场景，没想到有一天你们会站在这里，在所有人面前承诺：无论贫穷富贵，健康疾病，都不离不弃。
63	看完100部电影	解锁「电影爱好者」称号	娱乐	common	55	你在黑暗的影厅里笑过、哭过、思考过。第一百部电影看完的时候，你突然发现——你看的不是电影，是无数种人生的可能性。
64	不忘初心	成年后仍守住年少热爱	成长	common	55	小时候你喜欢画画/音乐/写作/运动，长大后大家都劝你务实，但你偷偷保留着那份热爱。某天深夜你重新拿起画笔/吉他/笔，发现那个少年还在你身体里，从未离开。
65	独自旅行	一个人出发，去一个完全陌生的地方	成长	common	58	你拖着行李箱站在陌生的街头，没有导游，没有攻略，只有你自己。那一刻你感到害怕，但也感到无比自由——这是你真正独立的开始。
66	公共交通族	常年依赖地铁公交日常出行	生活	common	59.2	你对这座城市每一条地铁线路的换乘站如数家珍。早高峰挤地铁的技巧你已经炉火纯青。你不是没有买车的能力，只是觉得公共交通也是一种生活方式。
67	通关一个游戏	在不看攻略的情况下通关一款游戏	娱乐	common	60	你在游戏里死了无数次，卡关卡到想砸键盘，但当你终于看到制作人员名单滚动时，那种成就感让你觉得一切都值得。后来你才知道——原来真结局还需要再打三周目。
68	空想家	想法太多始终迈不出动手那一步	成长	common	60.7	你有无数个计划：学吉他、练英语、开一家咖啡店、环游世界……但它们全都停留在你的脑海里，没有一个变成现实。也许有一天你会迈出第一步，也许不会。但至少，你还拥有做梦的权利。
69	遗憾分手	认真爱过一个，最终没能走到最后	情感	common	61	你们认真过，努力过，也争吵过、妥协过，最终还是走散了。你删掉了合照，取关了社交账号，但某些歌你还是不敢听。遗憾是成长的代价，但至少，你学会了如何去爱。
70	交到一辈子朋友	有一个认识10年以上的朋友	社交	common	62	你们认识了十年，从校服到婚纱（或者从单身到单身），从QQ空间到微信朋友圈。你们之间有很多共同记忆，也有很多共同的秘密——这就是一辈子朋友的意义。
71	双向奔赴	向喜欢的人表白，结果对方也喜欢你	情感	common	63	你鼓起全部勇气说出「我喜欢你」，心跳快到要从嗓子眼里蹦出来。然后TA笑了——那种笑容告诉你：原来你也一直在等这句话。双向奔赴的爱，是这个世界上最美好的事。
72	学会做饭	解锁「料理」生活技能	技能	common	65	你第一次独立做出一顿能吃的饭。虽然厨房像战场，虽然盐放多了，但当你吃到自己做的菜时，那种成就感无可替代。
73	注意力被劫持	本想查资料/学习，结果刷了几个小时视频	娱乐	common	65.3	你打开手机本来是想搜一道题/查一个资料，结果三个小时后你正对着屏幕傻笑。推荐算法把你带进了一个全新的世界——而你甚至不记得是怎么进来的。
74	自我疗愈	低谷时期自我调节，不靠他人走出阴霾	成长	common	67	那段日子很灰暗，你不想见任何人，也不想说话。但你每天逼自己做一点小事：洗个澡、出门走走、吃顿好的。慢慢地，光透进来了。你救了自己，而这份力量将伴随你一生。
75	第一次租房	在陌生的城市找到一个属于自己的角落	生活	common	68	你签下了人生第一份租房合同，虽然房子不大，虽然墙面有点发霉，但这是你第一次拥有一个真正属于自己的空间。
76	独自生活	第一次不依赖父母，独立居住	生活	common	70	你提着行李站在出租屋门口，钥匙插入锁孔的那一刻，你意识到：从现在开始，没有人会提醒你天冷加衣、按时吃饭。你既是自己的监护人，也是自己的孩子。
77	打卡5A级景区	参观中国最高评级的旅游景区	旅行	common	72	你排队两小时，打卡五分钟。虽然人多到怀疑人生，但当站在那处传世美景前，你承认——确实值得。
78	满分战绩	考试获得过满分	学业	common	72	试卷发下来的时候，你不敢相信自己的眼睛——满分！老师在全班同学面前念出你的名字，那一刻你觉得自己可能是天才。后来你才知道，那可能只是你人生中为数不多的高光时刻。
79	垂钓爱好者	每周户外垂钓享受安静独处时光	兴趣	common	72	你坐在水边，鱼竿一动不动，世界安静得只剩下水流声和鸟鸣。钓不钓得到鱼并不重要，重要的是这几小时的放空与安宁。钓鱼的人不是在钓鱼，是在和自己对话。
80	本科毕业	获得学士学位	学业	common	75	你穿着学士服，把帽穗从右边拨到左边。四年的熬夜、考试、恋爱、迷茫，在这一刻画上了句号。
81	故人走散	和年少最好的朋友，慢慢淡出彼此生活	社交	common	75	你们曾经形影不离，无话不说。然后各自去了不同的城市，有了不同的圈子。聊天记录停留在去年的生日祝福。你不难过，只是偶尔会想：TA现在过得好吗？
82	拿到驾照	解锁「机动车」使用权	技能	common	78	你紧张地握着方向盘，教练在副驾踩了无数次副刹。终于，你拿到了那张小本子——从此，你可以去任何想去的地方（只要付得起油费）。
83	外卖依赖者	连续一周三餐全靠外卖续命，零下厨	生活	common	78	你的厨房积了一层灰，外卖小哥成了你最熟悉的人。连续七天没有开火，你的胃在抗议，但你的懒惰在欢呼——毕竟谁愿意洗碗呢？
84	岁岁平安	一生无重大意外灾祸，生活安稳顺遂	生活	common	78	你可能觉得自己的人生平平淡淡，没有什么波澜壮阔的故事。但你知道吗？能够平平安安地长大、变老，本身就是一种了不起的幸运。平安，是最大的奢侈。
85	落日收藏家	特意奔赴多地拍摄日落美景	兴趣	common	78	你有一个相册专门存放日落照片：海边、山顶、城市天台、机场跑道……每一次日落都不一样，但每一场都同样壮美。你追逐的不是太阳，而是那一瞬间的宁静与感动。
86	学会游泳	解锁水上移动技能	技能	common	80	你被教练扔进了深水区，本能地划动手脚。当你发现自己真的浮了起来，那种征服水域的快感让你忘记了刚才的恐惧。
87	第一次喝醉	体验酒精的副作用	成长	common	82	你在聚会中第一次喝醉，醒来时头疼欲裂，发誓再也不喝酒了。但你知道吗？人类最迷人的地方就是——我们总是会忘记疼痛，重复同样的错误。
88	第一次说「我爱你」	向另一个人完全敞开心扉	情感	common	82	你说这三个字的时候声音在发抖，你不知道对方会怎么回应。但当TA也说「我也爱你」的时候，你觉得整个世界都在为你鼓掌。
89	月光族	每月工资花清零，存款永远趋近于归零	生活	common	82	发工资的那天是你最富有的日子，也是你消费欲望最强的一天。月底查看余额的时候，你再次发誓要存钱——但下个月的循环又会重新开始。
90	第一份工作	解锁「打工人」身份	职业	common	83	你第一天上班，紧张得提前半小时到了公司。你不知道自己会在这个岗位待多久，但你清楚地记得那一刻的心情——终于，你是一个「大人」了。
91	高考通关	完成人生最重要的限时考试	学业	common	85	六月的酷暑，你在考场上奋笔疾书。当最后一科结束的铃声响起，你走出考场，阳光刺眼——那是一个时代的结束，也是另一个时代的开始。
92	第一次失恋	体验心碎的感觉，解锁「坚强」属性	成长	common	85	你删除了聊天记录，把照片锁进了只有你知道的文件夹。你在雨中走了很久，以为自己撑不过去了。但多年后你回头看，感谢那个让你心碎的人——TA让你学会了爱。
93	第一次接吻	解锁「亲密接触」第二阶段	情感	common	85	你紧张得忘了呼吸，嘴唇碰到的时候脑子一片空白。后来你试过很多次接吻，但第一次的笨拙和青涩，你永远记得。
94	首次远行	第一次独自离开家乡，前往陌生城市	成长	common	85	火车缓缓驶离站台，家乡越来越远。你望着窗外的风景不断变化，既兴奋又不安。这是你人生中第一次真正意义上的「出发」，从这一刻起，你要学会一个人面对这个世界了。
95	长途徒步	完成三天以上的长途徒步路线	旅行	common	87	三天，六十公里，你的脚底磨起了水泡，双腿像灌了铅。但当走到终点回望来路时，你发现自己比自己想象的更强。徒步教会你的不是走路，而是在疲惫中继续前行。
96	第一次通宵	体验24小时不眠之夜	成长	common	88	你盯着天花板直到天亮，脑子里回放着今天发生的一切。你第一次意识到，原来长大不是一瞬间的事，而是无数个这样的夜晚堆积起来的。
97	第一次牵手	解锁「亲密接触」第一阶段	情感	common	88	你们的手指在课桌下偷偷碰触，然后慢慢地、试探性地握在了一起。那天下午的阳光特别温暖，你希望时间能停在这一刻。
98	极限拖延	事情总等到截止日期当天，极限救场通关	成长	common	88	截止日期前一晚，你在键盘上疯狂敲击，肾上腺素飙升。每次你都发誓下次一定提前开始，但每次历史都会重演。好消息是你总能赶上；坏消息是你的心脏可能受不了太久。
99	中考突围	在50%淘汰率中存活	学业	common	90	你坐在考场上，笔尖划过试卷。这一刻，你并不知道这张纸将决定你未来三年的去向。
100	初恋	第一次心动，解锁「喜欢」情绪	情感	common	90	你看到TA时心跳加速，写作业时偷偷在纸上写TA的名字。初恋大多没有结果，但它教会了你什么是心动——这比任何教科书都管用。
101	小学毕业	完成义务教育第一阶段	学业	common	92	六年时光匆匆而过，你穿着校服拍了毕业照。那时候你还不知道，这竟是人生中最无忧无虑的夏天。
102	熬夜冠军	凌晨3点仍保持在线，突破熬夜生理极限	成长	common	93	凌晨三点，朋友圈里只剩你还在活跃。你不知道为什么还不睡，也许是工作，也许是游戏，也许是单纯的不想结束这一天。太阳升起的时候，你又活过来了——至少暂时如此。
103	进入学校	解锁「义务教育」副本，持续9年	学业	common	94	你背起书包，走进了校门。铃声响起，黑板上写着第一个字——这是你人生最长的一个副本，没有存档，不能重来。
104	学会骑自行车	掌握基础移动技能	技能	common	95	你摔倒了无数次，膝盖上贴满了创可贴。但当你终于能稳稳地踩着踏板前行时，风从耳边掠过——你感觉自己像在飞。
105	第一次叫爸爸妈妈	解锁语言技能的第一级	新手村	common	96	你模糊地喊出第一声「爸爸」「妈妈」，那一刻父母的眼眶湿润了。你并不知道，这两个词将伴随你一生。
106	学会走路	不依靠任何辅助，独立完成移动	新手村	common	98	你摇摇晃晃地站了起来，在无数次摔倒后，终于迈出了人生第一步。这一刻，世界在你脚下展开。
107	呼吸第一口空气	出生于这个星球，完成角色创建	新手村	common	100	恭喜！你已成功降生至地球Online。系统已为你分配初始角色属性，请开始你的探索之旅。
108	第一次大声啼哭	用哭声宣告你的到来	新手村	common	100	你的第一声啼哭回荡在产房里，护士轻轻拍了拍你的小屁股，你用尽全力抗议——这是你第一次与世界建立连接。
109	幸存者	经历人生重大挑战并存活	成长	common	100	你经历过人生的风暴——也许是疾病、也许是失去、也许是巨大的挫折。但你挺过来了。伤痕还在，但它们不再是伤口，而是勋章。你活着，而且比以前更强。
